Experiment No,cnn dropout,cnn1,cnn2,cnn3,cnn4,cnn5,d1,d2,train accuracy,train top5,test accuracy, test top5
9,FALSE,0,0,0,0,0,0,0.3,0.497230665,0.815711927,0.3868,0.7376
13,TRUE,0,0.5,0.6,0,0.3,0.2,0,0.478655291,0.800021599,0.3876,0.7348
8,FALSE,0,0,0,0,0,0.4,0.3,0.445361556,0.771556845,0.3764,0.7228
10,TRUE,0,0.4,0,0.1,0,0.4,0,0.466281994,0.791505315,0.3852,0.7208
2,FALSE,0,0,0,0,0,0.5,0.1,0.433096256,0.768100961,0.3552,0.7176
4,FALSE,0,0,0,0,0,0,0.1,0.512766712,0.823965935,0.3932,0.7172
0,FALSE,0,0,0,0,0,0,0,0.496135273,0.827560671,0.3652,0.7168
7,FALSE,0,0,0,0,0,0.1,0,0.473363469,0.803199778,0.3576,0.7004
3,FALSE,0,0,0,0,0,0,0.2,0.470462996,0.795069195,0.3564,0.6944
11,FALSE,0,0,0,0,0,0.6,0,0.410062175,0.753691161,0.35,0.6916
12,FALSE,0,0,0,0,0,0.7,0.5,0.376753012,0.720721416,0.3192,0.686
6,FALSE,0,0,0,0,0,0.5,0.2,0.388694324,0.730703365,0.338,0.674
5,FALSE,0,0,0,0,0,0.3,0.4,0.377077001,0.710353765,0.3108,0.6548
1,FALSE,0,0,0,0,0,0.2,0.3,0.301988676,0.659472052,0.2604,0.6108
