,filename,class,pred
0,n01440764\ILSVRC2012_val_00000293.JPEG,0,0
1,n01440764\ILSVRC2012_val_00002138.JPEG,0,0
2,n01440764\ILSVRC2012_val_00003014.JPEG,0,0
3,n01440764\ILSVRC2012_val_00006697.JPEG,0,0
4,n01440764\ILSVRC2012_val_00007197.JPEG,0,0
5,n01440764\ILSVRC2012_val_00009111.JPEG,0,0
6,n01440764\ILSVRC2012_val_00009191.JPEG,0,0
7,n01440764\ILSVRC2012_val_00009346.JPEG,0,0
8,n01440764\ILSVRC2012_val_00009379.JPEG,0,0
9,n01440764\ILSVRC2012_val_00009396.JPEG,0,0
10,n01440764\ILSVRC2012_val_00010306.JPEG,0,12
11,n01440764\ILSVRC2012_val_00011233.JPEG,0,0
12,n01440764\ILSVRC2012_val_00011993.JPEG,0,0
13,n01440764\ILSVRC2012_val_00012503.JPEG,0,0
14,n01440764\ILSVRC2012_val_00013716.JPEG,0,0
15,n01440764\ILSVRC2012_val_00016018.JPEG,0,0
16,n01440764\ILSVRC2012_val_00017472.JPEG,0,0
17,n01440764\ILSVRC2012_val_00017699.JPEG,0,0
18,n01440764\ILSVRC2012_val_00017700.JPEG,0,0
19,n01440764\ILSVRC2012_val_00017995.JPEG,0,0
20,n01440764\ILSVRC2012_val_00018317.JPEG,0,0
21,n01440764\ILSVRC2012_val_00021740.JPEG,0,0
22,n01440764\ILSVRC2012_val_00023559.JPEG,0,0
23,n01440764\ILSVRC2012_val_00024235.JPEG,0,0
24,n01440764\ILSVRC2012_val_00024327.JPEG,0,0
25,n01440764\ILSVRC2012_val_00025129.JPEG,0,0
26,n01440764\ILSVRC2012_val_00025527.JPEG,0,0
27,n01440764\ILSVRC2012_val_00026064.JPEG,0,47
28,n01440764\ILSVRC2012_val_00026397.JPEG,0,0
29,n01440764\ILSVRC2012_val_00028158.JPEG,0,0
30,n01440764\ILSVRC2012_val_00029930.JPEG,0,0
31,n01440764\ILSVRC2012_val_00030740.JPEG,0,0
32,n01440764\ILSVRC2012_val_00031094.JPEG,0,23
33,n01440764\ILSVRC2012_val_00031333.JPEG,0,0
34,n01440764\ILSVRC2012_val_00034654.JPEG,0,0
35,n01440764\ILSVRC2012_val_00037375.JPEG,0,0
36,n01440764\ILSVRC2012_val_00037383.JPEG,0,0
37,n01440764\ILSVRC2012_val_00037596.JPEG,0,0
38,n01440764\ILSVRC2012_val_00037834.JPEG,0,26
39,n01440764\ILSVRC2012_val_00037861.JPEG,0,0
40,n01440764\ILSVRC2012_val_00039905.JPEG,0,0
41,n01440764\ILSVRC2012_val_00040358.JPEG,0,0
42,n01440764\ILSVRC2012_val_00040833.JPEG,0,0
43,n01440764\ILSVRC2012_val_00041939.JPEG,0,0
44,n01440764\ILSVRC2012_val_00045866.JPEG,0,0
45,n01440764\ILSVRC2012_val_00045880.JPEG,0,0
46,n01440764\ILSVRC2012_val_00046252.JPEG,0,0
47,n01440764\ILSVRC2012_val_00046499.JPEG,0,0
48,n01440764\ILSVRC2012_val_00048204.JPEG,0,0
49,n01440764\ILSVRC2012_val_00048969.JPEG,0,0
50,n01443537\ILSVRC2012_val_00000236.JPEG,1,29
51,n01443537\ILSVRC2012_val_00000262.JPEG,1,5
52,n01443537\ILSVRC2012_val_00000307.JPEG,1,1
53,n01443537\ILSVRC2012_val_00000994.JPEG,1,1
54,n01443537\ILSVRC2012_val_00002241.JPEG,1,27
55,n01443537\ILSVRC2012_val_00002848.JPEG,1,1
56,n01443537\ILSVRC2012_val_00003150.JPEG,1,1
57,n01443537\ILSVRC2012_val_00003735.JPEG,1,1
58,n01443537\ILSVRC2012_val_00004655.JPEG,1,1
59,n01443537\ILSVRC2012_val_00004677.JPEG,1,1
60,n01443537\ILSVRC2012_val_00005870.JPEG,1,1
61,n01443537\ILSVRC2012_val_00006007.JPEG,1,29
62,n01443537\ILSVRC2012_val_00006216.JPEG,1,1
63,n01443537\ILSVRC2012_val_00009034.JPEG,1,1
64,n01443537\ILSVRC2012_val_00010363.JPEG,1,29
65,n01443537\ILSVRC2012_val_00010509.JPEG,1,1
66,n01443537\ILSVRC2012_val_00011914.JPEG,1,1
67,n01443537\ILSVRC2012_val_00012880.JPEG,1,34
68,n01443537\ILSVRC2012_val_00013513.JPEG,1,1
69,n01443537\ILSVRC2012_val_00013623.JPEG,1,1
70,n01443537\ILSVRC2012_val_00016962.JPEG,1,1
71,n01443537\ILSVRC2012_val_00018075.JPEG,1,1
72,n01443537\ILSVRC2012_val_00019459.JPEG,1,47
73,n01443537\ILSVRC2012_val_00020436.JPEG,1,6
74,n01443537\ILSVRC2012_val_00020785.JPEG,1,1
75,n01443537\ILSVRC2012_val_00020822.JPEG,1,1
76,n01443537\ILSVRC2012_val_00021905.JPEG,1,1
77,n01443537\ILSVRC2012_val_00022138.JPEG,1,1
78,n01443537\ILSVRC2012_val_00023869.JPEG,1,1
79,n01443537\ILSVRC2012_val_00028713.JPEG,1,7
80,n01443537\ILSVRC2012_val_00030060.JPEG,1,1
81,n01443537\ILSVRC2012_val_00030217.JPEG,1,1
82,n01443537\ILSVRC2012_val_00031138.JPEG,1,29
83,n01443537\ILSVRC2012_val_00032235.JPEG,1,29
84,n01443537\ILSVRC2012_val_00032258.JPEG,1,1
85,n01443537\ILSVRC2012_val_00032675.JPEG,1,1
86,n01443537\ILSVRC2012_val_00034386.JPEG,1,1
87,n01443537\ILSVRC2012_val_00037846.JPEG,1,1
88,n01443537\ILSVRC2012_val_00038057.JPEG,1,1
89,n01443537\ILSVRC2012_val_00044095.JPEG,1,1
90,n01443537\ILSVRC2012_val_00045761.JPEG,1,27
91,n01443537\ILSVRC2012_val_00046915.JPEG,1,1
92,n01443537\ILSVRC2012_val_00046969.JPEG,1,1
93,n01443537\ILSVRC2012_val_00047396.JPEG,1,1
94,n01443537\ILSVRC2012_val_00047561.JPEG,1,1
95,n01443537\ILSVRC2012_val_00048840.JPEG,1,1
96,n01443537\ILSVRC2012_val_00048864.JPEG,1,1
97,n01443537\ILSVRC2012_val_00049585.JPEG,1,1
98,n01443537\ILSVRC2012_val_00049617.JPEG,1,1
99,n01443537\ILSVRC2012_val_00049712.JPEG,1,11
100,n01484850\ILSVRC2012_val_00002338.JPEG,2,3
101,n01484850\ILSVRC2012_val_00002752.JPEG,2,3
102,n01484850\ILSVRC2012_val_00004311.JPEG,2,2
103,n01484850\ILSVRC2012_val_00004329.JPEG,2,3
104,n01484850\ILSVRC2012_val_00006491.JPEG,2,2
105,n01484850\ILSVRC2012_val_00008848.JPEG,2,4
106,n01484850\ILSVRC2012_val_00014467.JPEG,2,2
107,n01484850\ILSVRC2012_val_00015157.JPEG,2,2
108,n01484850\ILSVRC2012_val_00015220.JPEG,2,2
109,n01484850\ILSVRC2012_val_00016168.JPEG,2,2
110,n01484850\ILSVRC2012_val_00016859.JPEG,2,3
111,n01484850\ILSVRC2012_val_00016988.JPEG,2,2
112,n01484850\ILSVRC2012_val_00017105.JPEG,2,2
113,n01484850\ILSVRC2012_val_00017194.JPEG,2,3
114,n01484850\ILSVRC2012_val_00019409.JPEG,2,3
115,n01484850\ILSVRC2012_val_00019435.JPEG,2,3
